standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
SEBBAR MOHAMED,2001,G07B,Ticket-Issuing Apparatus; Taximeters,Telecommunication,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SEBBAR MOHAMED,2001,G07C,Time Or Attendance Registers,Telecommunication,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SEKA S A FIRMA ,1982,C01F,"Compounds Of The Metals Beryllium, Magnesium, Aluminium, Calcium, Strontium, Barium, Radium, Thorium, Or Of The Rare-Earth Metals",Chemistry,Physical Sciences and Engineering,1,0.0285714285714286,1,0.0285714285714286,1,0.0285714285714286,0,0,0,0,1,0.0285714285714286,0.0285714285714286,0,1,1,,0,0,0,,,0.001953125,0.788054749066777,0
SEKA S A FIRMA ,1982,C01G,Compounds Containing Metals Not Covered By Subclasses,Electronics,Electronics and Telecommunication,1,0.0285714285714286,1,0.0285714285714286,1,0.0285714285714286,0,0,0,0,1,0.0285714285714286,0.0285714285714286,0,1,1,,0,0,0,,,0.001953125,0.788054749066777,0
SEKA S A FIRMA ,1982,C22B,Production Or Refining Of Metals,Chemistry,Physical Sciences and Engineering,1,0.0285714285714286,1,0.0285714285714286,1,0.0285714285714286,0,0,0,0,1,0.0285714285714286,0.0285714285714286,0,1,1,,0,0,0,,,0.001953125,0.788054749066777,0
SEKKAL FAYCAL,2020,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,1,1,,0,0,0,,,0,,0
SEKKAL FAYCAL,2020,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,1,1,,0,0,0,,,0,,0
SEKKAL FAYCAL,2020,C07K,Peptides,Chemistry,Physical Sciences and Engineering,1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,1,1,,0,0,0,,,0,,0
SEKKAL FAYCAL,2020,C12N,Microorganisms Or Enzymes,Chemistry,Physical Sciences and Engineering,1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,1,1,,0,0,0,,,0,,0
SEKKAL FAYCAL,2020,G01N,Analysing Chemical Or Physical Properties Of Materials,Information,Electronics and Telecommunication,1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,1,1,,0,0,0,,,0,,0
